"","trt","rep","reads","Achnanthales","Acholeplasmatales","Acidimicrobiales","Acidithiobacillales","Acidobacteriales","Actinomycetales","Aeromonadales","Agaricales","Alismatales","Alteromonadales","Amborellales","Anthocerotales","Anura","Aquificales","Bacillales","Bacteroidales","Bacteroidetes.Order.II..Incertae.sedis","Bangiales","Batrachospermales","Bdellovibrionales","Berberidopsidales","Bifidobacteriales","Bryopsidales","Burkholderiales","Campylobacterales","Canellales","Cardiobacteriales","Caryophyllales","Caudovirales","Caulobacterales","Ceramiales","Charales","Chattonellales","Chlamydiales","Chlamydomonadales","Chlorellales","Chlorobiales","Chlorodendrales","Chloroflexales","Chromatiales","Chroococcales","Clostridiales","Compsopogonales","Corallinales","Coriobacteriales","Coscinodiscales","Crossosomatales","Cucurbitales","Cyanidiales","Cyatheales","Cycadales","Cyclotrichida","Cytophagales","Deferribacterales","Deinococcales","Desmidiales","Desulfobacterales","Desulfovibrionales","Desulfurellales","Desulfuromonadales","Dictyoglomales","Dilleniales","Dinophysiales","Dioscoreales","Diplogasterida","Diptera","Ectocarpales","Enterobacteriales","Enterogona","Entomoplasmatales","Equisetales","Erysipelotrichales","Eucoccidiorida","Euglenales","Fagales","Fibrobacterales","Flavobacteriales","Fucales","Fusobacteriales","Galliformes","Gallionellales","Gemmatimonadales","Gentianales","Geraniales","Gigartinales","Ginkgoales","Gloeobacterales","Haemosporida","Halanaerobiales","Halobacteriales","Helotiales","Hemiaulales","Herpesvirales","Herpetosiphonales","Hydrogenophilales","Hydroida","Ignatiales","Isoetales","Ixodida","Kinetoplastida","Klebsormidiales","Kordiimonadales","Ktedonobacterales","Lactobacillales","Legionellales","Lycopodiales","Magnaporthales","Mamiellales","Marattiales","Marchantiales","Mariprofundales","Melosirales","Mesostigmatales","Methanobacteriales","Methanococcales","Methanomicrobiales","Methanosarcinales","Methylococcales","Methylophilales","Mycoplasmatales","Myrtales","Myxococcales","Nautiliales","Neisseriales","Nitrosomonadales","Nitrospirales","Nostocales","Nymphaeales","Oceanospirillales","Ophiostomatales","Oscillatoriales","Paraliales","Pasteurellales","Pelliales","Perkinsida","Phyllachorales","Piperales","Planctomycetales","Pleurocapsales","Porphyridiales","Pottiales","Prochlorales","Prymnesiales","Pseudomonadales","Pucciniales","Puniceicoccales","Pyramimonadales","Pyrenomonadales","Ranunculales","Rhabditida","Rhizobiales","Rhizochromulinales","Rhodellales","Rhodobacterales","Rhodochaetales","Rhodocyclales","Rhodospirillales","Rickettsiales","Rodentia","Rosales","Rubrobacterales","Saccharomycetales","sampleCounts...setdiff.colnames.sampleCounts...badOrders..","Sapindales","Scorpiones","Selaginellales","Selenomonadales","Solibacterales","Solirubrobacterales","Sphaerobacterales","Sphaeropleales","Sphagnales","Sphingobacteriales","Sphingomonadales","Spirochaetales","Sporidiobolales","Stylonematales","Synergistales","Syntrophobacterales","Takakiales","Terebellida","Tetraphidales","Thalassionemales","Thalassiophysales","Thermales","Thermoanaerobacterales","Thermococcales","Thermodesulfobacteriales","Thermoleophilales","Thermomicrobiales","Thermotogales","Thiotrichales","Thoreales","Trichocephalida","Trichomonadida","unclassified..derived.from.Acidobacteria.","unclassified..derived.from.Actinobacteria..class..","unclassified..derived.from.Alphaproteobacteria.","unclassified..derived.from.Appendicularia.","unclassified..derived.from.Archaea.","unclassified..derived.from.Bacillariophyceae.","unclassified..derived.from.Bacteria.","unclassified..derived.from.Bacteroidetes.","unclassified..derived.from.Betaproteobacteria.","unclassified..derived.from.Brachiopoda.","unclassified..derived.from.Chlorophyta.","unclassified..derived.from.Chordata.","unclassified..derived.from.Clostridia.","unclassified..derived.from.Coscinodiscophyceae.","unclassified..derived.from.Cryptophyta.","unclassified..derived.from.Cyanobacteria.","unclassified..derived.from.Dehalococcoidetes.","unclassified..derived.from.Deltaproteobacteria.","unclassified..derived.from.Epsilonproteobacteria.","unclassified..derived.from.Eukaryota.","unclassified..derived.from.Euryarchaeota.","unclassified..derived.from.Firmicutes.","unclassified..derived.from.Gammaproteobacteria.","unclassified..derived.from.Glaucocystophyceae.","unclassified..derived.from.Ktedonobacteria.","unclassified..derived.from.Lentisphaerae.","unclassified..derived.from.Mammalia.","unclassified..derived.from.Opitutae.","unclassified..derived.from.Proteobacteria.","unclassified..derived.from.Sordariomycetes.","unclassified..derived.from.Spartobacteria.","unclassified..derived.from.Streptophyta.","unclassified..derived.from.Synergistetes.","unclassified..derived.from.Trebouxiophyceae.","unclassified..derived.from.unclassified.sequences.","unclassified..derived.from.Verrucomicrobia.","unclassified..derived.from.Viruses.","Veneroida","Verrucomicrobiales","Vibrionales","Xanthomonadales"
"4455737.3","soil","soil",670,0,0,11,5,139,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,4,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,189,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,1,0,0,0,1,0,9
"4455738.3","soil","forest soil",57,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"4455739.3","soil","soil",61,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"4455740.3","soil","soil",1783,0,0,2,16,304,59,0,0,0,26,0,0,0,0,13,0,0,0,0,0,0,2,0,57,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,34,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,21,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,10,0,14,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,351,2,0,0,0,16,3,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,250,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,11,2,0,10,14,0,5,0,0,0,2,0,0,0,8,0,33
"4455741.3","soil","soil",2018,0,0,21,15,32,242,0,0,0,6,0,0,0,0,55,3,0,0,0,2,0,6,0,307,0,0,0,0,0,25,1,0,0,0,0,0,7,0,1,66,116,77,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,34,0,5,0,0,0,0,0,0,1,54,0,0,0,8,0,0,0,0,95,0,0,19,0,3,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,9,0,0,0,0,39,51,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,34,0,3,0,0,4,0,17,0,12,0,27,0,0,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,96,0,0,17,0,2,27,3,0,0,0,0,0,0,0,0,0,60,15,0,0,0,163,20,4,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,2,0,1,8,0,0,28,2,0,0,0,0,0,0,0,0,11,1,1,0,0,0,26,0,1,0,0,5,3,0,6,0,0,0,1,0,0,0,5,13,34
"4455742.3","soil","forest soil",1070,0,0,40,3,0,150,1,0,0,9,0,0,0,0,4,4,0,0,0,1,0,20,0,63,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,28,0,39,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,20,0,9,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,3,26,0,3,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,8,0,2,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,2,1,3,1,0,14,0,4,0,1,0,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,47,0,0,1,0,3,56,3,0,0,0,0,0,0,0,0,0,42,19,0,0,2,153,19,3,0,0,2,0,2,2,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,11,3,1,0,0,0,31,0,1,0,0,2,3,0,10,0,0,0,2,0,0,0,6,0,35
"4455743.3","soil","soil",1478,0,0,6,10,44,76,0,0,0,2,0,0,0,2,11,7,5,0,0,0,0,49,0,172,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,56,2,81,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,28,0,10,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,2,0,0,0,0,6,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,129,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,68,0,5,1,0,0,0,19,0,12,0,15,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,104,0,1,1,0,10,21,4,0,0,0,0,0,0,0,0,6,131,2,0,0,0,59,6,1,0,0,3,10,0,0,0,0,0,0,8,0,0,8,0,0,3,0,0,0,34,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,19,0,6,0,0,3,2,0,32,0,0,0,19,0,0,0,10,1,49
"4455744.3","soil","shrubland",1052,0,0,21,4,0,119,0,0,0,1,0,0,0,0,67,10,0,0,0,1,0,1,0,54,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,2,12,0,0,0,0,0,0,0,0,0,0,21,0,139,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,32,0,1,3,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,0,0,28,0,1,57,1,0,0,48,0,0,0,0,0,0,4,12,2,0,0,86,25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,57,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
"4455745.3","soil","forest soil",1099,0,0,27,12,129,57,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,83,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,44,2,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,0,4,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,18,0,1,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,16,0,3,0,0,0,0,11,0,3,0,7,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,108,0,0,4,0,2,28,10,0,0,0,0,0,0,0,0,0,100,17,0,0,0,176,17,1,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,7,0,2,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,8,0,10,0,0,0,1,0,0,0,17,1,14
"4455746.3","soil","soil",811,0,0,18,3,2,127,0,0,0,3,0,0,0,4,57,1,0,0,0,1,0,12,0,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,26,2,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,11,0,0,3,0,1,0,0,2,0,0,0,11,0,0,3,0,7,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,2,1,0,2,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,10,0,2,0,0,0,0,44,0,0,3,0,2,11,0,0,0,3,0,0,0,0,0,0,24,15,1,1,0,174,13,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,7,0,0,2,2,0,2,0,0,1,9,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,8,0,0,0,0,2,0,0,7,3,1,0,5,0,0,0,5,0,23
