"","reads","MGRASTid","trt","rep","Achnanthales","Acidimicrobiales","Acidithiobacillales","Acidobacteriales","Actinomycetales","Aeromonadales","Alismatales","Alteromonadales","Anthocerotales","Aquificales","Arecales","Asterales","Bacillales","Bacteroidales","Bacteroidetes.Order.II..Incertae.sedis","Bangiales","Bdellovibrionales","Bifidobacteriales","Brassicales","Burkholderiales","Buxales","Campylobacterales","Carnivora","Caryophyllales","Caulobacterales","Ceramiales","Charales","Chattonellales","Chlamydomonadales","Chlorellales","Chlorobiales","Chloroflexales","Chromatiales","Chroococcales","Clostridiales","Coleochaetales","Compsopogonales","Coniferales","Corallinales","Coscinodiscales","Cyanidiales","Cyatheales","Cycadales","Cyclotrichida","Cytophagales","Deferribacterales","Deinococcales","Desmidiales","Desulfobacterales","Desulfovibrionales","Desulfurellales","Desulfuromonadales","Dinophysiales","Dioscoreales","Diplogasterida","Enterobacteriales","Ericales","Erysipelotrichales","Euglyphida","Eurotiales","Fagales","Fibrobacterales","Flavobacteriales","Fragilariales","Funariales","Fusobacteriales","Gallionellales","Gelidiales","Gemmatimonadales","Gigartinales","Glaucocystales","Gloeobacterales","Gloeochaetales","Glomerellales","Gnetales","Grimmiales","Halanaerobiales","Hemiaulales","Herpetosiphonales","Hydrogenophilales","Hydroida","Hypnales","Ignatiales","Isochrysidales","Isoptera","Jungermanniales","Kinetoplastida","Klebsormidiales","Kordiimonadales","Ktedonobacterales","Lactobacillales","Lamiales","Legionellales","Lycopodiales","Malpighiales","Marattiales","Marchantiales","Mariprofundales","Melosirales","Mesostigmatales","Methanobacteriales","Methylococcales","Methylophilales","Myxococcales","Nautiliales","Naviculales","Neisseriales","Nitrosomonadales","Nitrospirales","Nostocales","Nymphaeales","Oceanospirillales","Oscillatoriales","Oxalidales","Paraliales","Pasteurellales","Pavlovales","Pelliales","Piperales","Planctomycetales","Pleurocapsales","Poales","Polypodiales","Polytrichales","Porphyridiales","Pottiales","Primates","Prochlorales","Prymnesiales","Pseudomonadales","Pseudoscourfieldiales","Puniceicoccales","Pyramimonadales","Pyrenomonadales","Rhizobiales","Rhodellales","Rhodobacterales","Rhodocyclales","Rhodospirillales","Rickettsiales","Rubrobacterales","Selaginellales","Selenomonadales","Siphonostomatoida","Solanales","Solibacterales","Solirubrobacterales","Sphaerobacterales","Sphaeropleales","Sphagnales","Sphingobacteriales","Sphingomonadales","Spirochaetales","Stylonematales","Synergistales","Syntrophobacterales","Takakiales","Terebellida","Tetraphidales","Thalassionemales","Thalassiophysales","Thermales","Thermoanaerobacterales","Thermodesulfobacteriales","Thermoleophilales","Thermotogales","Thiotrichales","Thoreales","Trichomonadida","Ustilaginales","Vaucheriales","Veneroida","Verrucomicrobiales","Vibrionales","Vitales","Xanthomonadales","Zingiberales","Zygnematales","Acholeplasmatales","Apiales","Austrobaileyales","Candidatus.Brocadiales","Cardiobacteriales","Chlamydiales","Chlorodendrales","Coriobacteriales","Dictyoglomales","Entomoplasmatales","Euglenales","Fabales","Fucales","Gentianales","Halobacteriales","Herpesvirales","Isoetales","Methanosarcinales","Metzgeriales","Mycoplasmatales","Pucciniales","Ranunculales","Rhabditida","Rhizochromulinales","Rhodochaetales","Sapindales","Thermomicrobiales","Amborellales","Batrachospermales","Berberidopsidales","Bryopsidales","Crossosomatales","Dilleniales","Equisetales","Ginkgoales","Magnoliales","Ophiostomatales","Psilotales","Rosales","Sordariales","Canellales","Caudovirales","Cucurbitales","Geraniales","Methanococcales","Sporidiobolales"
"1",631,"mgm4455737.3","soil","soil",0,11,5,139,68,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,11,1,0,0,0,0,0,189,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",57,"mgm4455738.3","soil","forest soil",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",57,"mgm4455739.3","soil","soil",0,0,0,0,24,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1487,"mgm4455740.3","soil","soil",0,2,16,304,59,0,0,26,0,0,0,0,13,0,0,0,0,2,0,57,0,0,0,0,11,0,0,0,0,0,0,0,34,0,12,1,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,21,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,236,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,10,14,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,1,17,0,0,0,0,0,0,351,2,0,0,0,16,3,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1385,"mgm4455741.3","soil","soil",0,21,15,32,114,0,0,6,0,0,0,0,22,1,0,0,2,6,0,183,0,0,0,0,25,1,0,0,0,0,0,1,66,2,28,0,0,0,0,0,0,0,0,0,28,1,0,0,0,34,0,6,0,0,0,0,0,8,0,0,0,0,100,0,0,0,0,1,6,0,2,0,1,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,17,0,1,0,0,0,0,0,0,5,1,34,0,0,3,0,0,4,0,18,9,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,14,0,0,0,0,96,0,7,2,27,3,0,0,0,0,0,60,29,0,0,0,228,22,4,0,2,2,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,5,1,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1153,"mgm4455742.3","soil","forest soil",0,40,6,0,160,1,0,9,0,0,0,0,5,4,4,0,1,20,1,63,0,0,2,0,10,0,0,0,0,0,0,0,29,0,44,0,0,0,0,0,0,0,0,0,9,2,0,0,0,20,0,9,0,0,0,1,3,19,2,0,0,3,34,0,4,3,0,0,6,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,1,0,8,0,2,0,1,0,23,0,0,0,0,0,0,0,0,9,0,19,0,0,2,1,3,1,0,14,4,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,4,0,0,0,0,53,0,1,3,56,3,0,0,0,18,0,42,37,0,0,2,150,20,3,0,2,0,2,2,0,0,0,0,1,0,2,0,2,0,3,0,0,0,6,0,77,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1392,"mgm4455743.3","soil","soil",0,6,10,44,76,0,0,2,0,2,0,0,11,7,5,0,0,49,0,172,0,0,4,0,8,1,0,0,0,0,0,0,56,2,81,1,0,0,0,0,0,0,0,0,4,2,0,0,1,28,0,10,0,0,0,1,2,33,0,0,0,0,2,0,0,0,0,0,6,0,0,5,0,2,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,129,0,0,0,0,0,0,0,0,14,0,68,0,0,5,1,0,0,0,19,12,0,0,15,4,0,0,0,7,4,0,0,1,0,0,0,0,0,0,1,0,0,104,1,1,10,21,4,0,0,6,0,0,131,2,0,0,0,59,6,1,0,3,10,0,0,0,0,0,0,8,0,8,0,3,0,0,1,0,0,10,1,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1026,"mgm4455744.3","soil","shrubland",0,21,4,0,129,0,0,1,0,0,0,0,69,10,0,0,1,1,1,54,0,0,0,0,5,0,0,0,0,0,0,0,13,2,12,0,0,0,0,0,0,0,0,0,21,0,139,0,0,30,0,0,0,0,0,0,11,1,0,0,0,0,10,11,0,1,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,1,0,2,3,32,0,6,2,3,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,73,0,28,1,57,1,48,0,0,1,0,4,25,5,0,0,86,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1131,"mgm4455745.3","soil","forest soil",0,27,12,129,64,0,0,3,0,0,0,0,9,0,2,0,0,0,0,83,0,0,0,0,24,1,0,0,0,0,0,0,44,2,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8,0,4,0,0,0,2,0,3,2,0,0,0,18,0,0,1,0,6,14,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,4,3,16,0,0,3,0,0,0,0,11,3,0,0,7,4,0,0,2,0,2,0,0,0,0,0,2,0,4,0,0,0,0,110,0,4,2,28,10,0,0,0,0,0,100,32,0,0,0,174,17,1,0,5,1,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,17,1,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",873,"mgm4455746.3","soil","soil",0,18,3,3,132,0,0,4,0,4,0,0,59,1,2,0,1,12,0,39,0,0,3,0,7,0,0,0,0,0,0,0,26,2,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,12,3,0,1,2,1,11,1,0,3,0,7,0,1,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,3,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,9,0,0,2,1,0,2,0,2,7,0,0,0,2,0,0,0,0,4,2,0,0,0,0,1,0,10,0,2,0,0,44,0,3,2,11,0,3,0,0,3,0,24,29,2,1,0,177,15,0,0,0,4,0,1,0,0,0,0,4,0,0,0,7,0,2,1,0,0,5,0,21,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
