"","trt","rep"
"4455737.3","soil","soil"
"4455738.3","soil","forest soil"
"4455739.3","soil","soil"
"4455740.3","soil","soil"
"4455741.3","soil","soil"
"4455742.3","soil","forest soil"
"4455743.3","soil","soil"
"4455744.3","soil","shrubland"
"4455745.3","soil","forest soil"
"4455746.3","soil","soil"
"4455747.3","soil","tropical soil"
"4455748.3","soil","soil"
"4455749.3","soil","forest soil"
"4455750.3","soil","soil"
"4455751.3","soil","forest soil"
"4455752.3","soil","shrubland"
"4455753.3","soil","grassland soil"
"4455754.3","soil","soil"
"4455755.3","soil","soil"
"4455756.3","soil","forest soil"
"4455757.3","soil","soil"
"4455758.3","soil","forest soil"
"4455759.3","soil","soil"
"4455760.3","soil","soil"
"4455761.3","soil","soil"
"4455762.3","soil","soil"
"4455763.3","soil","shrubland"
"4455764.3","soil","shrubland"
"4455765.3","soil","soil"
"4455766.3","soil","soil"
"4455767.3","soil","soil"
"4455769.3","soil","soil"
"4455770.3","soil","soil"
"4455771.3","soil","soil"
"4455772.3","soil","shrubland"
"4455773.3","soil","soil"
"4455774.3","soil","forest soil"
"4455775.3","soil","forest soil"
"4455776.3","soil","soil"
"4455777.3","soil","grassland soil"
"4455778.3","soil","grassland soil"
"4455779.3","soil","grassland soil"
"4455780.3","soil","shrubland"
"4455781.3","soil","grassland soil"
"4455782.3","soil","soil"
"4455783.3","soil","soil"
"4455784.3","soil","soil"
"4455785.3","soil","soil"
"4455786.3","soil","soil"
"4455787.3","soil","forest soil"
"4455788.3","soil","soil"
"4455789.3","soil","grassland soil"
"4455790.3","soil","tropical soil"
"4455791.3","soil","forest soil"
"4455792.3","soil","shrubland"
"4455793.3","soil","shrubland"
"4455794.3","soil","grassland soil"
"4455795.3","soil","shrubland"
"4455796.3","soil","soil"
"4455797.3","soil","soil"
"4455798.3","soil","soil"
"4455799.3","soil","shrubland"
"4455800.3","soil","forest soil"
"4455801.3","soil","forest soil"
"4455802.3","soil","grassland soil"
"4455803.3","soil","shrubland"
"4455804.3","soil","soil"
"4455805.3","soil","soil"
"4455806.3","soil","grassland soil"
"4455807.3","soil","soil"
"4455808.3","soil","shrubland"
"4455809.3","soil","soil"
"4455810.3","soil","forest soil"
"4455811.3","soil","soil"
"4455812.3","soil","soil"
"4455813.3","soil","soil"
"4455814.3","soil","soil"
"4455815.3","soil","forest soil"
"4455816.3","soil","forest soil"
"4455817.3","soil","tropical soil"
"4455818.3","soil","soil"
"4455819.3","soil","shrubland"
"4455820.3","soil","soil"
"4455821.3","soil","soil"
"4455822.3","soil","soil"
"4455823.3","soil","soil"
"4455824.3","soil","tropical soil"
"4455825.3","soil","grassland soil"
"4456668.3","body","M1"
"4456669.3","body","M5"
"4456670.3","body","M3"
"4456671.3","body","F3"
"4456672.3","body","M5"
"4456673.3","body","F1"
"4456674.3","body","F1"
"4456675.3","body","M6"
"4456676.3","body","M2"
"4456677.3","body","M2"
"4456678.3","body","M6"
"4456679.3","body","M6"
"4456680.3","body","F2"
"4456681.3","body","M1"
"4456682.3","body","M5"
"4456683.3","body","M2"
"4456684.3","body","F2"
"4456685.3","body","F2"
"4456686.3","body","M2"
"4456687.3","body","M4"
"4456688.3","body","M5"
"4456689.3","body","M2"
"4456690.3","body","M4"
"4456691.3","body","M4"
"4456692.3","body","M6"
"4456693.3","body","M6"
"4456694.3","body","F1"
"4456695.3","body","M4"
"4456696.3","body","M4"
"4456697.3","body","F3"
"4456698.3","body","M2"
"4456699.3","body","F3"
"4456700.3","body","M1"
"4456701.3","body","F1"
"4456702.3","body","F1"
"4456703.3","body","F1"
"4456704.3","body","M4"
"4456705.3","body","M6"
"4456706.3","body","M3"
"4456707.3","body","F2"
"4456708.3","body","F2"
"4456709.3","body","M2"
"4456710.3","body","F3"
"4456711.3","body","F1"
"4456712.3","body","F1"
"4456713.3","body","M6"
"4456714.3","body","F3"
"4456715.3","body","M3"
"4456716.3","body","M1"
"4456717.3","body","F2"
"4456718.3","body","M4"
"4456719.3","body","M3"
"4456720.3","body","M6"
"4456721.3","body","M4"
"4456722.3","body","F1"
"4456723.3","body","F2"
"4456724.3","body","M6"
"4456725.3","body","M5"
"4456726.3","body","M6"
"4456727.3","body","F1"
"4456728.3","body","M4"
"4456729.3","body","F3"
"4456730.3","body","M6"
"4456731.3","body","M2"
"4456732.3","body","M2"
"4456733.3","body","M5"
"4456734.3","body","F2"
"4456735.3","body","M4"
"4456736.3","body","F1"
"4456737.3","body","F2"
"4456738.3","body","M5"
"4456739.3","body","F3"
"4456740.3","body","M4"
"4456741.3","body","M1"
"4456742.3","body","M5"
"4456743.3","body","M5"
"4456744.3","body","M6"
"4456745.3","body","M1"
"4456746.3","body","F1"
"4456747.3","body","M1"
"4456748.3","body","M2"
"4456749.3","body","M3"
"4456750.3","body","M4"
"4456751.3","body","F3"
"4456752.3","body","M2"
"4456753.3","body","F3"
"4456754.3","body","M4"
"4456755.3","body","F3"
"4456756.3","body","M5"
"4456757.3","body","M1"
"4456758.3","body","M1"
"4456759.3","body","M2"
"4456760.3","body","M4"
"4456761.3","body","F3"
"4456762.3","body","M3"
"4456763.3","body","F1"
"4456764.3","body","M4"
"4456765.3","body","M1"
"4456766.3","body","F2"
"4456767.3","body","F1"
"4456768.3","body","F3"
"4456769.3","body","F1"
"4456770.3","body","M4"
"4456771.3","body","M6"
"4456772.3","body","M5"
"4456773.3","body","F1"
"4456774.3","body","M5"
"4456775.3","body","M1"
"4456776.3","body","M1"
"4456777.3","body","M4"
"4456778.3","body","F1"
"4456779.3","body","M6"
"4456780.3","body","F2"
"4456781.3","body","M2"
"4456782.3","body","M3"
"4456783.3","body","F2"
"4456784.3","body","F3"
"4456785.3","body","M2"
"4456786.3","body","M2"
"4456787.3","body","M3"
"4456788.3","body","M1"
"4456789.3","body","M5"
"4456790.3","body","M4"
"4456791.3","body","F2"
"4456792.3","body","F1"
"4456793.3","body","M4"
"4456794.3","body","M6"
"4456795.3","body","M1"
"4456796.3","body","M1"
"4456797.3","body","M2"
"4456798.3","body","M3"
"4456799.3","body","F3"
"4456800.3","body","M3"
"4456801.3","body","M5"
"4456802.3","body","M4"
"4456803.3","body","M4"
"4456804.3","body","M3"
"4456805.3","body","M6"
"4456806.3","body","M5"
"4456807.3","body","M3"
"4456808.3","body","F1"
"4456809.3","body","M5"
"4456810.3","body","F2"
"4456811.3","body","M3"
"4456812.3","body","M1"
"4456813.3","body","M1"
"4456814.3","body","F3"
"4456815.3","body","F3"
"4456816.3","body","F1"
"4456817.3","body","M5"
"4456818.3","body","M6"
"4456819.3","body","F2"
"4456820.3","body","F1"
"4456821.3","body","F2"
"4456822.3","body","M3"
"4456823.3","body","F1"
"4456824.3","body","M2"
"4456825.3","body","M6"
"4456826.3","body","M5"
"4456827.3","body","M3"
"4456828.3","body","M2"
"4456829.3","body","F3"
"4456830.3","body","M1"
"4456831.3","body","M1"
"4456832.3","body","M6"
"4456833.3","body","F3"
"4456834.3","body","M3"
"4456835.3","body","M2"
"4456836.3","body","F1"
"4456837.3","body","F3"
"4456838.3","body","F3"
"4456839.3","body","F2"
"4456840.3","body","M1"
"4456841.3","body","F2"
"4456842.3","body","F3"
"4456843.3","body","F3"
"4456844.3","body","M2"
"4456845.3","body","F3"
"4456846.3","body","F2"
"4456847.3","body","M5"
"4456848.3","body","M1"
"4456849.3","body","M6"
"4456850.3","body","F2"
"4456851.3","body","M1"
"4456852.3","body","M5"
"4456853.3","body","M6"
"4456854.3","body","M6"
"4456855.3","body","F2"
"4456856.3","body","M2"
"4456857.3","body","M3"
"4456858.3","body","M5"
"4456859.3","body","F2"
"4456860.3","body","M3"
"4456861.3","body","M3"
"4456862.3","body","M6"
"4456863.3","body","F2"
"4456864.3","body","M4"
"4456865.3","body","M1"
"4456866.3","body","M2"
"4456867.3","body","F2"
"4456868.3","body","M3"
"4456869.3","body","M2"
"4456870.3","body","M4"
"4456871.3","body","F3"
"4456872.3","body","M5"
"4456873.3","body","M1"
